Source ,Target
1,1144
2,1145
3,1146
4,1147
5,1148
6,1149
7,1150
8,1150
9,1151
10,1152
11,1153
12,1153
13,1154
14,1155
15,1156
16,1157
17,1157
18,1157
19,1158
20,1158
21,1158
22,1158
23,1159
24,1160
25,1160
26,1161
27,1162
28,1163
29,1164
30,1165
31,1165
32,1165
33,1165
34,1165
35,1165
36,1165
37,1165
38,1165
39,1165
40,1165
41,1165
42,1165
43,1166
44,1166
45,1167
46,1167
47,1168
48,1169
49,1170
50,1171
51,1171
52,1172
53,1173
54,1174
55,1175
56,1175
57,1176
58,1177
59,1178
60,1179
61,1180
62,1180
63,1180
64,1180
65,1180
66,1180
67,1180
68,1180
69,1180
70,1180
71,1180
72,1180
73,1180
74,1180
75,1180
76,1180
77,1180
78,1180
79,1181
80,1182
81,1182
82,1182
83,1182
84,1182
85,1182
86,1182
87,1182
88,1182
89,1182
90,1182
91,1182
92,1182
93,1182
94,1182
95,1182
96,1182
97,1182
98,1182
99,1182
100,1182
101,1182
102,1183
103,1184
104,1184
105,1185
106,1185
107,1185
108,1185
109,1185
110,1185
111,1185
112,1185
113,1186
114,1187
115,1187
116,1188
117,1188
118,1188
119,1188
120,1189
121,1189
122,1189
123,1189
124,1189
125,1189
126,1189
127,1189
128,1189
129,1189
130,1189
131,1190
132,1190
133,1190
134,1191
135,1191
136,1191
137,1191
138,1191
139,1192
140,1192
141,1193
142,1193
143,1194
144,1195
145,1196
146,1197
147,1197
148,1197
149,1198
150,1199
151,1199
152,1199
153,1200
154,1201
155,1202
156,1202
157,1203
158,1204
159,1204
160,1204
161,1204
162,1204
163,1204
164,1204
165,1204
166,1204
167,1204
168,1204
169,1204
170,1204
171,1204
172,1204
173,1204
174,1204
175,1204
176,1204
177,1205
178,1206
179,1207
180,1208
181,1209
182,1210
183,1210
184,1211
185,1211
186,1211
187,1211
188,1211
189,1211
190,1211
191,1211
192,1211
193,1211
194,1211
195,1211
196,1211
197,1211
198,1211
199,1211
200,1211
201,1211
202,1211
203,1211
204,1211
205,1211
206,1211
207,1211
208,1211
209,1211
210,1211
211,1211
212,1211
213,1211
214,1212
215,1213
216,1214
217,1214
218,1214
219,1214
220,1214
221,1214
222,1214
223,1214
224,1214
225,1214
226,1215
227,1216
228,1217
229,1218
230,1218
231,1218
232,1218
233,1219
234,1219
235,1219
236,1219
237,1219
238,1220
239,1221
240,1222
241,1223
242,1224
243,1225
244,1226
245,1226
246,1227
247,1228
248,1229
249,1230
250,1230
251,1231
252,1232
253,1232
254,1232
255,1234
256,1234
257,1235
258,1235
259,1235
260,1235
261,1236
262,1237
263,1237
264,1238
265,1238
266,1238
267,1238
268,1238
269,1239
270,1239
271,1239
272,1239
273,1239
274,1239
275,1240
276,1241
277,1242
278,1242
279,1243
280,1243
281,1244
282,1244
283,1244
284,1244
285,1244
286,1244
287,1244
288,1244
289,1244
290,1245
291,1246
292,1246
293,1246
294,1246
295,1246
296,1246
297,1246
298,1247
299,1247
300,1248
301,1248
302,1248
303,1248
304,1248
305,1248
306,1248
307,1248
308,1248
309,1248
310,1248
311,1248
312,1248
313,1248
314,1248
315,1248
316,1248
317,1248
318,1248
319,1249
320,1249
321,1249
322,1249
323,1249
324,1249
325,1249
326,1249
327,1249
328,1249
329,1249
330,1249
331,1249
332,1249
333,1249
334,1249
335,1249
336,1249
337,1249
338,1249
339,1249
340,1250
341,1251
342,1252
343,1252
344,1253
345,1254
346,1254
347,1254
348,1256
349,1256
350,1256
351,1256
352,1256
353,1256
354,1256
355,1256
356,1256
357,1255
358,1256
359,1257
360,1258
361,1259
362,1260
363,1260
364,1260
365,1260
366,1260
367,1260
368,1260
369,1260
370,1260
371,1260
372,1260
373,1260
374,1260
375,1260
376,1260
377,1260
378,1260
379,1260
380,1260
381,1261
382,1261
383,1261
384,1261
385,1261
386,1261
387,1261
388,1261
389,1261
390,1261
391,1261
392,1261
393,1262
394,1263
395,1263
396,1264
397,1264
398,1265
399,1266
400,1267
401,1268
402,1268
403,1269
404,1270
405,1271
406,1272
407,1273
408,1274
409,1275
410,1276
411,1277
412,1277
413,1278
414,1279
415,1279
416,1280
417,1280
418,1280
419,1280
420,1280
421,1280
422,1280
423,1281
424,1282
425,1283
426,1284
427,1285
428,1285
429,1285
430,1285
431,1285
432,1285
433,1285
434,1285
435,1285
436,1285
437,1285
438,1285
439,1285
440,1285
441,1285
442,1285
443,1285
444,1286
445,1286
446,1286
447,1286
448,1287
449,1287
450,1287
451,1287
452,1288
453,1288
454,1289
455,1289
456,1289
457,1289
458,1290
459,1290
460,1290
461,1290
462,1291
463,1291
464,1291
465,1291
466,1292
467,1292
468,1293
469,1294
470,1218
471,1218
472,1218
473,1218
474,1218
475,1218
476,1218
477,1295
478,1296
479,1297
480,1297
481,1297
482,1297
483,1297
484,1298
485,1298
486,1298
487,1299
488,1300
489,1301
490,1302
491,1302
492,1302
493,1302
494,1303
495,1304
496,1305
497,1305
